Occasion,Date,Time,Tag_ID,Tag_ID_cor,Site,Species,Section,Length,Weight,Recap,Mortality,Potential_error,error_corrected,Comments
1,10/31/2020,09:11:37.673,900.226001167955,ID900.226001167955,NorthCampus_CMR,redbreast_sunfish,1,62,3.9,n,n,n,NA,
1,10/31/2020,09:13:40.578,900.226001167959,ID900.226001167959,NorthCampus_CMR,creek_chub,1,122,18.5,n,n,n,NA,
1,10/31/2020,09:14:18.931,900.226001167929,ID900.226001167929,NorthCampus_CMR,green_sunfish,1,89,10.7,n,n,n,NA,
1,10/31/2020,09:14:56.398,900.226001167956,ID900.226001167956,NorthCampus_CMR,creek_chub,2,118,15.8,n,n,n,NA,
1,10/31/2020,09:18:16.875,900.226001167921,ID900.226001167921,NorthCampus_CMR,redbreast_sunfish,2,124,28.7,n,n,n,NA,
1,10/31/2020,09:18:55.043,900.226001167922,ID900.226001167922,NorthCampus_CMR,creek_chub,2,105,11,n,n,n,NA,
1,10/31/2020,09:19:29.188,900.226001167904,ID900.226001167904,NorthCampus_CMR,creek_chub,2,107,12.5,n,n,n,NA,
1,10/31/2020,09:20:00.568,900.226001167965,ID900.226001167965,NorthCampus_CMR,green_sunfish,2,85,9.5,n,n,n,NA,
1,10/31/2020,09:20:31.360,900.226001167945,ID900.226001167945,NorthCampus_CMR,redbreast_sunfish,2,110,22.1,n,n,n,NA,
1,10/31/2020,09:21:20.721,900.226001167968,ID900.226001167968,NorthCampus_CMR,redbreast_sunfish,2,111,20,n,n,n,NA,
1,10/31/2020,09:27:14.441,900.226001167958,ID900.226001167958,NorthCampus_CMR,creek_chub,2,108,13.1,n,n,n,NA,
1,10/31/2020,09:28:00.258,900.226001167986,ID900.226001167986,NorthCampus_CMR,redbreast_sunfish,2,119,29,n,n,n,NA,
1,10/31/2020,09:28:46.938,900.226001167973,ID900.226001167973,NorthCampus_CMR,green_sunfish,2,123,30.8,n,n,n,NA,
1,10/31/2020,09:29:34.099,900.226001167957,ID900.226001167957,NorthCampus_CMR,creek_chub,2,124,20.9,n,n,n,NA,
1,10/31/2020,09:29:59.039,900.226001167983,ID900.226001167983,NorthCampus_CMR,green_sunfish,2,104,17.3,n,n,n,NA,
1,10/31/2020,09:30:36.309,900.226001167966,ID900.226001167966,NorthCampus_CMR,green_sunfish,2,90,12.1,n,n,n,NA,
